datetime,symbol,open,high,low,close,volume
2018-07-23 09:00:00,BITSTAMP:BTCUSD,7393.5,8496.96,7369.86,8216.74,65167.53075057
2018-07-30 09:00:00,BITSTAMP:BTCUSD,8216.74,8295.0,6888.88,7032.61,62905.64863324
2018-08-06 09:00:00,BITSTAMP:BTCUSD,7028.89,7157.93,5995.75,6310.82,69594.76180375
2018-08-13 09:00:00,BITSTAMP:BTCUSD,6311.99,6628.5,5880.0,6481.99,56003.42076059
2018-08-20 09:00:00,BITSTAMP:BTCUSD,6481.63,6906.81,6223.9,6700.46,42724.85921257
2018-08-27 09:00:00,BITSTAMP:BTCUSD,6700.13,7334.5,6641.35,7290.31,40370.70113209
2018-09-03 09:00:00,BITSTAMP:BTCUSD,7291.94,7411.85,6094.38,6236.04,49374.32164329
2018-09-10 09:00:00,BITSTAMP:BTCUSD,6238.99,6587.0,6162.06,6499.98,30741.47909193
2018-09-17 09:00:00,BITSTAMP:BTCUSD,6499.28,6826.28,6100.0,6702.22,38303.6896632
2018-09-24 09:00:00,BITSTAMP:BTCUSD,6703.37,6792.28,6324.96,6597.81,35704.88184016
2018-10-01 09:00:00,BITSTAMP:BTCUSD,6597.79,6641.35,6396.34,6577.63,25762.45081576
2018-10-08 09:00:00,BITSTAMP:BTCUSD,6574.15,6656.63,6055.28,6183.0,28853.46742597
2018-10-15 09:00:00,BITSTAMP:BTCUSD,6185.04,6756.0,6149.28,6413.38,33476.46489434
